source,modality,image_id,image_path,mask_path,image_width,image_height,mask_width,mask_height,status
exports_qgis,rgb,sit15_neg01,,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb_masque\sit15_neg01_masque.png,,,3507,2480,missing_clean_image
exports_qgis,rgb,site01_large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site01_large.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb_masque\site01_large_masque.png,3507,2480,3507,2480,ok
exports_qgis,rgb,site01_neg02,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site01_neg02.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb_masque\site01_neg02_masque.png,3507,2480,3507,2480,ok
exports_qgis,rgb,site01_neg03,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site01_neg03.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb_masque\site01_neg03_masque.png,3507,2480,3507,2480,ok
exports_qgis,rgb,site01_neg04,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site01_neg04.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb_masque\site01_neg04_masque.png,3507,2480,3507,2480,ok
exports_qgis,rgb,site01_neg05,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site01_neg05.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb_masque\site01_neg05_masque.png,3507,2480,3507,2480,ok
exports_qgis,rgb,site01_neg06,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site01_neg06.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb_masque\site01_neg06_masque.png,3507,2480,3507,2480,ok
exports_qgis,rgb,site01_neg07,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site01_neg07.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb_masque\site01_neg07_masque.png,3507,2480,3507,2480,ok
exports_qgis,rgb,site01_patch01,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site01_patch01.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb_masque\site01_patch01_masque.png,3507,2480,3507,2480,ok
exports_qgis,rgb,site01_patch02,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site01_patch02.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb_masque\site01_patch02_masque.png,3507,2480,3507,2480,ok
exports_qgis,rgb,site01_patch03,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site01_patch03.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb_masque\site01_patch03_masque.png,3507,2480,3507,2480,ok
exports_qgis,rgb,site01_patch04,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site01_patch04.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb_masque\site01_patch04_masque.png,3507,2480,3507,2480,ok
exports_qgis,rgb,site01_patch05,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site01_patch05.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb_masque\site01_patch05_masque.png,3507,2480,3507,2480,ok
exports_qgis,rgb,site01_tres_large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site01_tres_large.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb_masque\site01_tres_large_masque.png,3507,2480,3507,2480,ok
exports_qgis,rgb,site02_large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site02_large.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb_masque\site02_large_masque.png,3507,2480,3507,2480,ok
exports_qgis,rgb,site02_neg01,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site02_neg01.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb_masque\site02_neg01_masque.png,3507,2480,3507,2480,ok
exports_qgis,rgb,site02_neg02,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site02_neg02.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb_masque\site02_neg02_masque.png,3507,2480,3507,2480,ok
exports_qgis,rgb,site02_neg03,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site02_neg03.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb_masque\site02_neg03_masque.png,3507,2480,3507,2480,ok
