source,modality,image_id,image_path,mask_path,width,height,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_area_ratio,changed_ratio,touches_edge,status
exports_qgis,rgb,site01_large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site01_large.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb_masque\site01_large_masque.png,3507,2480,803,167,3378,2429,0.669703,0.006594,False,ok
exports_qgis,rgb,site01_patch01,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site01_patch01.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb_masque\site01_patch01_masque.png,3507,2480,285,180,3507,2479,0.851681,0.006123,True,bbox_too_large;bbox_touches_edge
exports_qgis,rgb,site01_patch02,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site01_patch02.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb_masque\site01_patch02_masque.png,3507,2480,549,0,3507,2232,0.759110,0.004566,True,bbox_touches_edge
exports_qgis,rgb,site01_patch03,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site01_patch03.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb_masque\site01_patch03_masque.png,3507,2480,1415,0,3504,2010,0.482778,0.001271,True,bbox_touches_edge
exports_qgis,rgb,site01_patch04,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site01_patch04.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb_masque\site01_patch04_masque.png,3507,2480,542,0,3283,1987,0.626209,0.004050,True,bbox_touches_edge
exports_qgis,rgb,site01_patch05,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site01_patch05.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb_masque\site01_patch05_masque.png,3507,2480,375,60,3261,2479,0.802684,0.005417,True,bbox_touches_edge
exports_qgis,rgb,site01_tres_large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site01_tres_large.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb_masque\site01_tres_large_masque.png,3507,2480,85,22,3430,2432,0.926885,0.003087,True,bbox_too_large;bbox_touches_edge
exports_qgis,rgb,site02_large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site02_large.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb_masque\site02_large_masque.png,3507,2480,1426,199,2082,1958,0.132673,0.003909,False,ok
exports_qgis,rgb,site02_patch01,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site02_patch01.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb_masque\site02_patch01_masque.png,3507,2480,1204,0,2259,1049,0.127245,0.002083,True,bbox_touches_edge
exports_qgis,rgb,site02_patch02,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site02_patch02.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb_masque\site02_patch02_masque.png,3507,2480,245,0,3507,2479,0.929765,0.007247,True,bbox_too_large;bbox_touches_edge
