source,modality,image_id,image_path,mask_path,width,height,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_area_ratio,changed_ratio,touches_edge,status
exports_qgis,rgb,site01_large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site01_large.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb_masque\site01_large_masque.png,3507,2480,0,0,3507,2479,0.999597,0.558006,True,bbox_too_large;bbox_touches_edge
exports_qgis,rgb,site01_patch01,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site01_patch01.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb_masque\site01_patch01_masque.png,3507,2480,0,0,3507,2480,1.000000,0.404636,True,bbox_too_large;bbox_touches_edge
exports_qgis,rgb,site01_patch02,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site01_patch02.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb_masque\site01_patch02_masque.png,3507,2480,0,0,3507,2479,0.999597,0.418619,True,bbox_too_large;bbox_touches_edge
exports_qgis,rgb,site01_patch03,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site01_patch03.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb_masque\site01_patch03_masque.png,3507,2480,0,0,3507,2479,0.999597,0.360724,True,bbox_too_large;bbox_touches_edge
exports_qgis,rgb,site01_patch04,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site01_patch04.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb_masque\site01_patch04_masque.png,3507,2480,0,0,3507,2479,0.999597,0.388176,True,bbox_too_large;bbox_touches_edge
exports_qgis,rgb,site01_patch05,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site01_patch05.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb_masque\site01_patch05_masque.png,3507,2480,0,0,3507,2480,1.000000,0.550354,True,bbox_too_large;bbox_touches_edge
exports_qgis,rgb,site01_tres_large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site01_tres_large.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb_masque\site01_tres_large_masque.png,3507,2480,0,0,3507,2479,0.999597,0.449785,True,bbox_too_large;bbox_touches_edge
exports_qgis,rgb,site02_large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site02_large.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb_masque\site02_large_masque.png,3507,2480,0,0,3507,2479,0.999597,0.380455,True,bbox_too_large;bbox_touches_edge
exports_qgis,rgb,site02_patch01,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site02_patch01.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb_masque\site02_patch01_masque.png,3507,2480,0,0,3507,2479,0.999597,0.348740,True,bbox_too_large;bbox_touches_edge
exports_qgis,rgb,site02_patch02,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site02_patch02.png,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb_masque\site02_patch02_masque.png,3507,2480,0,0,3507,2480,1.000000,0.391617,True,bbox_too_large;bbox_touches_edge
